Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 081,BARBOUR 080 081-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 081,BARBOUR 080 081-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 084,BARBOUR 080 084-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 084,BARBOUR 080 084-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 120,BARBOUR 120 121,BARBOUR 120 121-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 120,BARBOUR 120 121,BARBOUR 120 121-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 120,BARBOUR 120 123,BARBOUR 120 123-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 120,BARBOUR 120 123,BARBOUR 120 123-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 160,BARBOUR 160 163,BARBOUR 160 163-1,Single (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 160,BARBOUR 160 164,BARBOUR 160 164-1,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 160,BARBOUR 160 164,BARBOUR 160 164-2,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 160,BARBOUR 160 165,BARBOUR 160 165-1,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 160,BARBOUR 160 165,BARBOUR 160 165-2,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 180,BARBOUR 180 181-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 180,BARBOUR 180 181-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 183,BARBOUR 180 183-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 183,BARBOUR 180 183-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 210,BARBOUR 210 211,BARBOUR 210 211-1,Single (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 210,BARBOUR 210 213,BARBOUR 210 213-1,Double (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 210,BARBOUR 210 213,BARBOUR 210 213-2,Double (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 220,BARBOUR 220 221,BARBOUR 220 221-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 220,BARBOUR 220 221,BARBOUR 220 221-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 220,BARBOUR 220 223,BARBOUR 220 223-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 220,BARBOUR 220 223,BARBOUR 220 223-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 270,BARBOUR 270 271,BARBOUR 270 271-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 270,BARBOUR 270 271,BARBOUR 270 271-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 270,BARBOUR 270 274,BARBOUR 270 274-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 270,BARBOUR 270 274,BARBOUR 270 274-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 290,BARBOUR 290 291,BARBOUR 290 291-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 290,BARBOUR 290 291,BARBOUR 290 291-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 290,BARBOUR 290 293,BARBOUR 290 293-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 290,BARBOUR 290 293,BARBOUR 290 293-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 310,BARBOUR 310 311,BARBOUR 310 311-1,Single (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 310,BARBOUR 310 313,BARBOUR 310 313-1,Double (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
